"","pid","wt","POP","HH","AGE5U","AGE18U","AGE65O","NFAM","NFAMALONE","POV","RACWHITE","RACBLACK","RACASIAN","RACHSPLAT","POV.FAM","POV.NFAM","POV.NFAMALONE"
"566","185345b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"567","185345c",16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"568","185427a",16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"569","185427b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"570","185908a",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"571","185908b",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"572","186556a",9,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"573","186556b",9,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"574","186556c",9,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"575","186814",24,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
"576","187050a",25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"577","187050b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"578","187678a",13,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"579","187678b",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"580","187744a",6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"581","187744b",5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"582","187840",15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"583","188798",18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"584","189145",31,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"585","189801",17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586","190385",10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"587","191727",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"588","191742a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"589","191742b",23,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"590","191742c",28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"591","193896",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"592","193910a",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"593","193910b",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"594","193910c",8,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"595","195234",3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"596","198586a",21,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"597","198586b",21,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"598","199893",30,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"599","202273",15,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"600","202510",12,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"601","202568a",21,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"602","202568b",27,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"603","202597a",20,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"604","202597b",22,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"605","202597c",29,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"606","203191a",8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
