"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"120","080130127081",1522,230.395136778115,1522,230.395136778115,94,50.4595889834581,332,95.3012358330995,122,51.1650465957467,495,141.033434650456,35,20.0607902735562,77,55.3191489361702,1336,243.768996960486,0,6.68693009118541,15,15.1975683890577,171,83.2826747720365,62,54.1033434650456,15,14.5896656534954,15,14.5896656534954
"121","080130127082",688,101.519756838906,688,101.519756838906,35,24.8125612546609,110,45.0545749876906,83,39.8999126599926,137,60.790273556231,15,13.9817629179331,29,28.5714285714286,670,101.519756838906,0,6.68693009118541,0,6.68693009118541,18,18.2370820668693,29,28.5714285714286,0,6.68693009118541,0,6.68693009118541
"122","080130127083",2349,210.942249240122,2349,210.942249240122,39,22.8186314639799,353,81.7804299841541,617,93.4906184897967,359,110.63829787234,59,21.8844984802432,230,138.601823708207,2255,209.118541033435,0,6.68693009118541,40,23.1003039513678,33,21.2765957446809,112,98.4802431610942,118,91.7933130699088,17,16.4133738601824
"123","080130127084",799,179.331306990881,799,179.331306990881,34,22.8833194221504,192,57.699545360084,93,39.5697521223704,115,34.6504559270517,77,31.0030395136778,0,6.68693009118541,746,172.036474164134,25,20.0607902735562,0,6.68693009118541,28,27.9635258358663,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541
"125","080130127101",328,59.5744680851064,328,59.5744680851064,5,8.63992121796468,51,26.4908918778127,101,31.896072030018,65,27.355623100304,12,9.11854103343465,12,11.5501519756839,328,59.5744680851064,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,12,11.5501519756839,0,6.68693009118541
"126","080130127102",1616,142.857142857143,1616,142.857142857143,25,14.840797101196,345,75.0876773691227,273,47.0211881805901,385,59.5744680851064,126,34.0425531914894,245,66.2613981762918,1213,108.206686930091,66,54.7112462006079,5,5.47112462006079,268,107.598784194529,101,60.790273556231,144,41.9452887537994,105,37.0820668693009
"127","080130127103",1414,123.404255319149,1414,123.404255319149,17,14.4112700196106,232,47.9704210683529,352,61.8927386563425,181,45.5927051671732,23,16.4133738601824,59,43.161094224924,1266,113.06990881459,0,6.68693009118541,51,23.7082066869301,69,37.0820668693009,42,39.5136778115502,17,15.8054711246201,0,6.68693009118541
"140","080130130031",1695,169.604863221885,1695,169.604863221885,119,44.1096168599921,568,101.866796671871,197,65.4815941597006,185,63.2218844984802,86,51.063829787234,66,60.1823708206687,1627,168.996960486322,0,6.68693009118541,30,20.0607902735562,0,6.68693009118541,66,60.1823708206687,0,6.68693009118541,0,6.68693009118541
"141","080130130032",660,184.802431610942,660,184.802431610942,0,9.45674722559516,193,77.0167423811041,71,35.5194192291588,37,27.9635258358663,0,6.68693009118541,14,13.3738601823708,628,184.802431610942,0,6.68693009118541,0,6.68693009118541,32,32.8267477203647,0,6.68693009118541,14,13.3738601823708,0,6.68693009118541
"142","080130130033",905,125.835866261398,905,125.835866261398,44,33.8684213426969,108,48.5409477876648,268,63.0521452994007,64,31.6109422492401,15,15.1975683890577,0,6.68693009118541,856,119.756838905775,0,6.68693009118541,12,12.7659574468085,25,23.7082066869301,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541
"143","080130130034",2702,201.215805471125,2702,201.215805471125,108,45.7706759491333,615,104.608739269687,303,68.474785849623,704,134.954407294833,152,44.3768996960486,195,63.8297872340426,2428,210.942249240122,0,6.68693009118541,147,68.0851063829787,117,56.5349544072948,68,38.9057750759878,127,49.2401215805471,52,27.355623100304
"157","080130122034",968,183.586626139818,968,183.586626139818,0,9.45674722559516,0,18.9134944511903,67,38.6723621363378,544,139.817629179331,248,71.7325227963526,173,78.419452887538,754,182.370820668693,0,6.68693009118541,59,34.6504559270517,111,50.4559270516717,0,6.68693009118541,173,78.419452887538,130,65.6534954407295
"158","080130122041",902,93.0091185410334,855,86.9300911854103,32,23.0682868826873,43,26.9473073061416,54,30.199981394223,672,75.9878419452887,174,34.0425531914894,193,60.790273556231,813,86.9300911854103,44,32.8267477203647,0,6.68693009118541,21,13.9817629179331,0,6.68693009118541,193,60.790273556231,98,35.258358662614
"159","080130122042",1922,194.528875379939,1837,194.528875379939,0,9.45674722559516,6,18.7072128309169,87,27.1045553916206,1642,196.352583586626,106,30.3951367781155,1265,203.647416413374,1780,196.352583586626,25,17.629179331307,21,14.5896656534954,91,31.6109422492401,107,65.6534954407295,1158,202.431610942249,25,14.5896656534954
"160","080130122043",1009,130.091185410334,1009,130.091185410334,8,9.45674722559516,24,19.9684713746588,152,40.4792019807574,652,128.87537993921,82,30.3951367781155,198,87.5379939209726,838,96.048632218845,16,11.5501519756839,8,6.68693009118541,129,55.3191489361702,0,6.68693009118541,198,87.5379939209726,34,20.0607902735562
"161","080130123001",4554,203.039513677812,10,8.51063829787234,0,9.45674722559516,54,30.1264722027085,0,23.1642053291886,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,3633,165.957446808511,46,17.0212765957447,328,77.2036474164134,425,79.6352583586626,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541
"162","080130123002",2428,478.419452887538,1595,111.854103343465,109,33.1237269928882,216,43.6506336073343,14,22.0359501038199,906,92.4012158054711,186,32.2188449848024,571,105.775075987842,987,147.720364741641,52,36.4741641337386,1097,490.577507598784,243,75.9878419452887,110,48.6322188449848,461,93.0091185410334,45,15.8054711246201
"163","080130124011",1450,251.671732522796,1238,243.768996960486,0,9.45674722559516,0,18.9134944511903,0,23.1642053291886,1238,243.768996960486,106,46.8085106382979,1100,233.434650455927,1286,231.003039513678,0,6.68693009118541,4,4.86322188449848,154,75.9878419452887,0,6.68693009118541,1100,233.434650455927,118,55.3191489361702
"164","080130124012",1727,233.434650455927,1519,229.179331306991,18,18.2876704638192,37,29.4754478356247,54,35.7579116592164,1298,211.550151975684,163,52.887537993921,919,195.136778115502,1400,196.960486322188,69,55.3191489361702,30,15.1975683890577,160,55.3191489361702,0,6.68693009118541,919,195.136778115502,128,51.6717325227964
"165","080130124013",706,94.2249240121581,554,80.8510638297872,28,17.5345958685179,97,33.6275177773601,103,34.0371250557311,139,49.2401215805471,36,21.2765957446809,43,24.3161094224924,661,97.2644376899696,8,9.72644376899696,3,4.86322188449848,15,12.1580547112462,0,6.68693009118541,43,24.3161094224924,26,18.8449848024316
